Name,UniqueName,WAR,wRC+,ROI_Contact,ROI_Power,ROI_Speed,ROI_Defense,ROI_Discipline,Best_Tool,Best_ROI,Contact,Power,Speed,Defense,Discipline
Colt Keith,Colt Keith (2025),1.6418478863513437,108.54647239341595,9.776340655025779,10.52674183273203,-1.7018548832356486,-1.1225361368447029,-1.3755906287749053,Power,10.52674183273203,55.619125650223886,51.63928127565341,50.61621108476437,43.06237104804559,56.25145022321826
Edmundo Sosa,Edmundo Sosa (2025),1.62550046271494,111.39915774596037,8.954448731587165,12.66429991978172,-1.4998612346299192,-1.1211194625149525,-1.307149323289039,Power,12.66429991978172,50.81341875636582,51.69726476707634,45.06858382830222,57.6942246295969,30.415561036895166
Yainer Diaz,Yainer Diaz (2025),1.5891757475451076,91.88190392011954,10.242150317390115,12.746476271729609,0.4159691990146598,0.48163638275877074,0.580157974371933,Power,12.746476271729609,55.706841966152986,53.16978962773842,41.95588283634421,50.09208011004311,26.06811967444789
Luis Torrens,Luis Torrens (2025),1.5884624198265986,79.07973369331869,8.842349483776879,11.678321177380827,-1.1198150923358992,-0.6078290877152734,-0.9253670190843678,Power,11.678321177380827,55.63561364928997,50.55024110933773,45.99899009678633,69.67211682946242,46.514060172443095
Pedro Pagés,Pedro Pagés (2025),1.5845144120762678,76.51890535673009,9.34529911383388,13.390454407030417,0.27800774355639246,0.5514021107421,0.30418088724725384,Power,13.390454407030417,42.41802711370702,46.86998927757786,40.27754205745086,70.87804802631013,37.48335516492752
Oneil Cruz,Oneil Cruz (2025),1.5826519517325606,85.63652013289894,11.601155540277562,10.44468929462644,-3.6581382616255307,-2.9007219380362583,-3.4026203853290165,Contact,11.601155540277562,34.55316736432917,71.10200242753041,76.40409573459074,50.67424849270763,58.43899017576095
Luke Keaschall,Luke Keaschall (2025),1.5609405121583375,133.62393029265988,10.725288431107279,9.148343857622974,-4.616304920106508,-4.3091803598997,-5.11230283442272,Contact,10.725288431107279,63.80199053982921,43.5427074953754,56.86675884078001,48.63521140375766,61.96230761411557
Kerry Carpenter,Kerry Carpenter (2025),1.5091360368151667,114.72685213121945,9.065925746365547,12.412038277250089,-1.7881055013616232,-1.309906663778312,-1.4109906208507452,Power,12.412038277250089,50.64387935045442,61.08855207869832,49.43186528417837,42.58173124575863,35.723696243855855
Jared Triolo,Jared Triolo (2025),1.503858053333905,86.34214621895569,10.762994945093357,10.162142383300745,-2.895587777846411,-2.1831914420867724,-2.9499697394514537,Contact,10.762994945093357,51.07354139342826,44.5574317475698,59.644377004109046,59.96750744048603,57.28094389020278
Bo Naylor,Bo Naylor (2025),1.4790240627913165,84.52468223941526,9.642844167638344,11.005655728106735,-2.1019664819960564,-1.5787772217980491,-1.8885245957386887,Power,11.005655728106735,44.52588821153168,50.52516896873867,44.0419839985209,56.82615323307739,54.154388071107725
Vinnie Pasquantino,Vinnie Pasquantino (2025),1.4760251314812367,115.60980051703578,9.671309065840145,10.316128261020438,0.5928094019003017,0.5551637205266716,1.0373582739046583,Power,10.316128261020438,62.416612842001285,60.55112164764034,37.5642981300557,34.54932966114778,49.24780007490118
Dominic Canzone,Dominic Canzone (2025),1.4699672390343528,140.86973783480403,8.451576076809152,13.204428887022964,-0.7330327121543276,-0.6438430194877907,-0.4027807195069119,Power,13.204428887022964,56.72529393185157,63.553468220758646,45.213212188746816,43.10527491605728,42.722506943686845
Matt Shaw,Matt Shaw (2025),1.4633771243712563,92.9436743433649,11.313365045548245,10.231365884961674,-5.015834619489172,-4.810148580142132,-5.470879190539372,Contact,11.313365045548245,51.97437035763867,43.34725042178747,58.668575211986415,51.73276025573716,49.88465400500667
