target,window,outer_fold,model,alpha,inner_fold,mae,selected
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,13.89495494373136,mean,25.323604627339883,True
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,19.306977288832496,0,26.58245932378912,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,19.306977288832496,1,21.916923193887158,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,19.306977288832496,2,25.83204330428341,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,19.306977288832496,3,24.130394071425048,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,19.306977288832496,4,28.156262634328684,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,19.306977288832496,mean,25.323616505542685,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,26.82695795279722,0,26.637751910965203,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,26.82695795279722,1,21.862681902927463,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,26.82695795279722,2,25.83617971309883,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,26.82695795279722,3,24.171527115192163,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,26.82695795279722,4,28.1233710914479,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,26.82695795279722,mean,25.32630234672631,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,37.27593720314938,0,26.72039234922249,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,37.27593720314938,1,21.792616426553934,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,37.27593720314938,2,25.8464043652594,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,37.27593720314938,3,24.224928606947987,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,37.27593720314938,4,28.080860457547793,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,37.27593720314938,mean,25.333040441106323,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,51.794746792312125,0,26.8246724126746,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,51.794746792312125,1,21.704204113210597,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,51.794746792312125,2,25.869604758998225,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,51.794746792312125,3,24.305216305696888,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,51.794746792312125,4,28.0272182976806,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,51.794746792312125,mean,25.346183177652183,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,71.96856730011514,0,26.959452832710575,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,71.96856730011514,1,21.59595285142756,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,71.96856730011514,2,25.898011117808664,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,71.96856730011514,3,24.403519860558944,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,71.96856730011514,4,27.961539307155356,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,71.96856730011514,mean,25.363695193932223,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,100.0,0,27.119350884179827,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,100.0,1,21.468196885394235,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,100.0,2,25.93153573222462,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,100.0,3,24.51953574258237,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,100.0,4,27.889581542441228,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,100.0,mean,25.385640157364453,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,138.9495494373136,0,27.30006954535446,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,138.9495494373136,1,21.32380558777387,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,138.9495494373136,2,25.969425646316616,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,138.9495494373136,3,24.68889482607505,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,138.9495494373136,4,27.83474854236854,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,138.9495494373136,mean,25.42338882957771,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,193.06977288832496,0,27.494599598673414,False
