target,window,touches_2020,fold,candidate,baseline,n_test,sign,improvement_mae,ci_low,ci_high,excludes_zero,bootstrap_unit,n_boot,direction,positive_means_candidate_better
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M7 Marcel + B2V,M6c Marcel calibrated,362,candidate better,0.8354120270840113,0.29784546029410003,1.3734141603978343,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M6c Marcel calibrated,M1 B2V 5 tools,362,baseline better,-0.8858061684646543,-1.7491916539603891,0.0008348290994268723,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,pooled,M1 B2V 5 tools,M0 scalar baseline,1073,candidate better,1.1560740799557827,0.6992946635270205,1.6064286257574474,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,pooled,M1 B2V 5 tools,M2 constituent stats,1073,baseline better,-0.19199031295646662,-0.3940670310888006,0.020335373218797127,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,pooled,M2 constituent stats,M0 scalar baseline,1073,candidate better,1.3480643929122493,0.8323568710212038,1.8618066730765914,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,pooled,M4 B2V + age + PA,M3 scalar + age + PA,1073,candidate better,1.0737990477041386,0.67126415376486,1.4835411130288674,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,pooled,M7 Marcel + B2V,M6c Marcel calibrated,1073,candidate better,0.5384502450462811,0.26475171032612826,0.8141852241865934,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,pooled,M6c Marcel calibrated,M1 B2V 5 tools,1073,baseline better,-0.5072980006913426,-1.0125837124998434,0.013781915216711245,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2022->23,M1 B2V 5 tools,M0 scalar baseline,353,baseline better,-0.06628721554039263,-0.11740656068399263,-0.012222715953286414,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2022->23,M1 B2V 5 tools,M2 constituent stats,353,baseline better,-0.01950985820588591,-0.03971014002892746,-0.00010797353279491499,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2022->23,M2 constituent stats,M0 scalar baseline,353,baseline better,-0.04677735733450672,-0.09521366791589027,0.003554383054248818,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2022->23,M4 B2V + age + PA,M3 scalar + age + PA,353,baseline better,-0.03138003430140679,-0.07228496133738999,0.0107184936823177,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2022->23,M7 Marcel + B2V,M6c Marcel calibrated,353,candidate better,0.007230010898181094,-0.010682915282476174,0.02589656556163511,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2022->23,M6c Marcel calibrated,M1 B2V 5 tools,353,candidate better,0.013362068345275535,-0.056525611029138986,0.08508090778832847,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2023->24,M1 B2V 5 tools,M0 scalar baseline,358,baseline better,-0.028105718791135104,-0.08119536239411117,0.02166815872238604,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2023->24,M1 B2V 5 tools,M2 constituent stats,358,baseline better,-0.06784228251693847,-0.11664635524023692,-0.02160684935057405,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2023->24,M2 constituent stats,M0 scalar baseline,358,candidate better,0.039736563725803364,-0.02046670098457624,0.10204485721404977,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2023->24,M4 B2V + age + PA,M3 scalar + age + PA,358,baseline better,-0.007489664236203453,-0.04229662896449577,0.027919373709521425,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2023->24,M7 Marcel + B2V,M6c Marcel calibrated,358,candidate better,0.01409740477698751,-0.01325944026246933,0.04128783585681221,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2023->24,M6c Marcel calibrated,M1 B2V 5 tools,358,candidate better,0.04429058521886109,-0.023755642827101946,0.11654760335720918,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2024->25,M1 B2V 5 tools,M0 scalar baseline,362,baseline better,-0.048479357827402314,-0.10053521034861068,0.004153519710543853,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2024->25,M1 B2V 5 tools,M2 constituent stats,362,baseline better,-0.049104980421900146,-0.09877753690759242,-0.0012074514436516148,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2024->25,M2 constituent stats,M0 scalar baseline,362,candidate better,0.0006256225944978322,-0.05588473863671377,0.05876008548266013,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2024->25,M4 B2V + age + PA,M3 scalar + age + PA,362,baseline better,-0.0171576302882539,-0.05766951683125017,0.023450304464888497,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2024->25,M7 Marcel + B2V,M6c Marcel calibrated,362,candidate better,0.024626881612697993,-0.0008856632672219533,0.05204949195726359,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,2024->25,M6c Marcel calibrated,M1 B2V 5 tools,362,candidate better,0.047436729378837805,-0.018377095650310794,0.11288660152236159,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,pooled,M1 B2V 5 tools,M0 scalar baseline,1073,baseline better,-0.047540318682669946,-0.07734968694314898,-0.01609240030680006,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,pooled,M1 B2V 5 tools,M2 constituent stats,1073,baseline better,-0.045620242311714465,-0.07073200544739414,-0.02120468153030942,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,pooled,M2 constituent stats,M0 scalar baseline,1073,baseline better,-0.0019200763709554813,-0.035432305077199605,0.031910157679777555,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,pooled,M4 B2V + age + PA,M3 scalar + age + PA,1073,baseline better,-0.018610917119576298,-0.042662415830632704,0.0036614999655786937,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,pooled,M7 Marcel + B2V,M6c Marcel calibrated,1073,candidate better,0.015390490122102696,0.0007611852185908819,0.02940417761538173,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,2021-2025 (2020 excluded),False,pooled,M6c Marcel calibrated,M1 B2V 5 tools,1073,candidate better,0.03517701367136428,-0.00415666431253317,0.07572242453414767,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,2021-2025 (2020 excluded),False,2022->23,M1 B2V 5 tools,M0 scalar baseline,353,candidate better,0.038367611533710155,-0.012518228977987855,0.088648194738224,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,2021-2025 (2020 excluded),False,2022->23,M1 B2V 5 tools,M2 constituent stats,353,baseline better,-0.012149248479477626,-0.04472389865023336,0.02043901727385684,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,2021-2025 (2020 excluded),False,2022->23,M2 constituent stats,M0 scalar baseline,353,candidate better,0.05051686001318778,-0.01046224873987206,0.11073109248477432,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,2021-2025 (2020 excluded),False,2022->23,M4 B2V + age + PA,M3 scalar + age + PA,353,candidate better,0.0058182151561612105,-0.04044561741070642,0.05160164786727341,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,2021-2025 (2020 excluded),False,2022->23,M7 Marcel + B2V,M6c Marcel calibrated,353,baseline better,-0.0031183562475392,-0.026118260619420314,0.019817306566677902,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
