target,alpha_grid,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,mae_pct_of_scalar_baseline
war,archived_6_value,A,M1 B2V 5 tools,5,10.0,351,False,2021->2022,2022->2023,350,1.2451737702282553,1.1473426820421517,1.3478412180048243,1.5627729972995428,1.4370490957166235,1.6942998700886254,105.29843063947155
war,archived_6_value,A,M2 constituent stats,22,100.0,351,False,2021->2022,2022->2023,350,1.225883601824417,1.12970968792011,1.3270392002495455,1.5412237194314642,1.4170255838962642,1.671743930879177,103.66715273412109
war,archived_6_value,A,M3 scalar + age + PA,3,1.0,351,False,2021->2022,2022->2023,350,1.117951011516979,1.028160608821187,1.2148192639350892,1.4317428216970693,1.3040542157812363,1.5700651211876622,94.53980629785389
war,archived_6_value,A,M4 B2V + age + PA,7,10.0,351,False,2021->2022,2022->2023,350,1.1521478464660688,1.0591785288796571,1.2539663468490723,1.4641557039454065,1.343548278698891,1.5924676887434304,97.43167017988547
war,archived_6_value,A,M5 constituents + age + PA,24,100.0,351,False,2021->2022,2022->2023,350,1.1649103927437165,1.0730983098805533,1.2641292936942434,1.469038335612381,1.347580337106438,1.5973901634446717,98.51093809102497
war,archived_6_value,B,M0 scalar baseline,1,1.0,701,False,2021->2022; 2022->2023,2023->2024,355,1.2123904884582442,1.1023107325040093,1.3343199944939723,1.6345342950704451,1.4610045249442027,1.8286352089951465,100.0
war,archived_6_value,B,M1 B2V 5 tools,5,10.0,701,False,2021->2022; 2022->2023,2023->2024,355,1.2431288733728731,1.1339146298896146,1.3610545683199913,1.6473527643102448,1.488800678929232,1.8195258763776199,102.53535351912221
war,archived_6_value,B,M2 constituent stats,22,0.01,701,False,2021->2022; 2022->2023,2023->2024,355,1.174997477409881,1.067605616131186,1.291007913381777,1.5862262393018882,1.424076843717339,1.7726014644413475,96.9157617612198
war,archived_6_value,B,M3 scalar + age + PA,3,10.0,701,False,2021->2022; 2022->2023,2023->2024,355,1.2317809799747257,1.1237557207386704,1.3515117918215236,1.6360550207735034,1.4640837753410694,1.8281014343464588,101.59936024746777
war,archived_6_value,B,M4 B2V + age + PA,7,10.0,701,False,2021->2022; 2022->2023,2023->2024,355,1.2451417916136154,1.1397389237435749,1.35915373994612,1.6264022189815721,1.4720504529853384,1.8018781589938946,102.7013823901753
war,archived_6_value,B,M5 constituents + age + PA,24,0.01,701,False,2021->2022; 2022->2023,2023->2024,355,1.1736111916368746,1.0693726998316844,1.2911824536852785,1.5712669675288264,1.4116690210741953,1.757744805490641,96.80141858662353
war,archived_6_value,C,M0 scalar baseline,1,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.133414051872161,1.0384088909516522,1.2332177992360596,1.4838930022653587,1.3565160597437753,1.6175975612465359,100.0
war,archived_6_value,C,M1 B2V 5 tools,5,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1823932151637278,1.0843145047657097,1.2857607056180458,1.5253207997193827,1.3833599052255035,1.6729836190130523,104.32138310008276
war,archived_6_value,C,M2 constituent stats,22,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1335211624045511,1.0407349414822114,1.2348715474775038,1.456222884949159,1.3354962938876318,1.5803478419340191,100.00945025626012
war,archived_6_value,C,M3 scalar + age + PA,3,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1459316178447423,1.051679744859082,1.2408140881290424,1.4754649421427386,1.3503093986481,1.5980789329776552,101.10441245649858
