target,pool,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
war,past_seasons,C,B B2V (5 tools) k=5,,,,,,,358,1.2731843575418993,1.165526536312849,1.382744413407821,1.64616364575438,1.5015084497987745,1.7942286154793459
war,past_seasons,pooled,"A scalar (WAR, wRC+) k=10",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2170178739416746,1.1455555020853385,1.293945112562086,1.6064105760521825,1.493587945037808,1.7216856749919682
war,past_seasons,pooled,"A scalar (WAR, wRC+) k=3",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.3284101599247413,1.2461655192477772,1.4064682350850197,1.75253105799288,1.6322916919232693,1.8769767421708843
war,past_seasons,pooled,"A scalar (WAR, wRC+) k=5",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2553715898400752,1.179766775671036,1.3350152294257984,1.6522823235645523,1.54271538523053,1.7719591701850639
war,past_seasons,pooled,B B2V (5 tools) k=10,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2472812793979304,1.177877645917829,1.3173725619226133,1.6086724044956728,1.5081723712422885,1.708568149966802
war,past_seasons,pooled,B B2V (5 tools) k=3,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.3840388836625899,1.3099821056243477,1.454338830433023,1.7927221835598555,1.685349762155501,1.8963952617444504
war,past_seasons,pooled,B B2V (5 tools) k=5,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.3033866415804327,1.232476295367717,1.3727227169406866,1.6848088904020535,1.5857878380746973,1.7805428136240367
war_rate,same_season,A,"A scalar (WAR, wRC+) k=10",,,,,,,350,1.5620268392483192,1.4349532382318697,1.680215399879864,1.9600906975046455,1.8137424919238287,2.1018558764289486
war_rate,same_season,A,"A scalar (WAR, wRC+) k=3",,,,,,,350,1.784656241118267,1.6487558453058877,1.9217677355741114,2.214860883552968,2.062070466446715,2.365672521904838
war_rate,same_season,A,"A scalar (WAR, wRC+) k=5",,,,,,,350,1.647434570819886,1.5128138113966394,1.7817964553146846,2.088232475567072,1.9375089109966042,2.236617927892783
war_rate,same_season,A,B B2V (5 tools) k=10,,,,,,,350,1.6434613811833751,1.526869830495735,1.7649389822420802,2.0160263836092702,1.8846232802562417,2.1526808383365656
war_rate,same_season,A,B B2V (5 tools) k=3,,,,,,,350,1.7474569347950195,1.609742229454285,1.8842455976293253,2.194218268195925,2.0479672443427845,2.33756805175523
war_rate,same_season,A,B B2V (5 tools) k=5,,,,,,,350,1.683208467943101,1.5542079873254586,1.8107512437808457,2.0753707950032645,1.9381716865598575,2.2189097984995185
war_rate,same_season,B,"A scalar (WAR, wRC+) k=10",,,,,,,355,1.6670998479505226,1.524784926219946,1.8143171042727704,2.172626757901328,1.993163906182316,2.35483729727444
war_rate,same_season,B,"A scalar (WAR, wRC+) k=3",,,,,,,355,1.779660679838327,1.6216204887107442,1.9438737886276147,2.3375951114215727,2.1370844619897666,2.5447788689534794
war_rate,same_season,B,"A scalar (WAR, wRC+) k=5",,,,,,,355,1.7475692064063955,1.5946056084004916,1.9046614952495708,2.267657669991445,2.07504452317581,2.464437008690881
war_rate,same_season,B,B B2V (5 tools) k=10,,,,,,,355,1.693178075273329,1.5575934396079527,1.8405117898333425,2.1737316410725396,2.016909340357478,2.3375067183548652
war_rate,same_season,B,B B2V (5 tools) k=3,,,,,,,355,1.8873882871252072,1.7352275931849859,2.042258828936829,2.403092377636524,2.2174428155200263,2.580633030339189
war_rate,same_season,B,B B2V (5 tools) k=5,,,,,,,355,1.7821886956990267,1.6412292543085385,1.927595020833915,2.265715877545897,2.0913975586850104,2.432489457503639
war_rate,same_season,C,"A scalar (WAR, wRC+) k=10",,,,,,,358,1.6404600276072268,1.5087310132797678,1.7764585745047763,2.0995090647556984,1.9353469309994518,2.2654935117904493
war_rate,same_season,C,"A scalar (WAR, wRC+) k=3",,,,,,,358,1.8305742079911838,1.6870871039946864,1.9756624487303318,2.2987700258423978,2.123213571593842,2.463976746082268
war_rate,same_season,C,"A scalar (WAR, wRC+) k=5",,,,,,,358,1.747035761656207,1.615399823696539,1.8892498567297593,2.203074299662861,2.032978222448279,2.370668690164703
war_rate,same_season,C,B B2V (5 tools) k=10,,,,,,,358,1.7069029264692743,1.5696330396699403,1.8456985487016158,2.174156514437574,2.0137684024592675,2.3456386350144016
war_rate,same_season,C,B B2V (5 tools) k=3,,,,,,,358,1.846704689877483,1.7041625509222584,1.9906664104524114,2.289982474438737,2.13746443706996,2.445060441780584
war_rate,same_season,C,B B2V (5 tools) k=5,,,,,,,358,1.7737808869118306,1.6359775714294265,1.919276207727605,2.2481874850670343,2.0901113617464406,2.4130001978057742
war_rate,same_season,pooled,"A scalar (WAR, wRC+) k=10",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.623532012834181,1.536884294943783,1.7071738821062792,2.0798806299540757,1.9712877982118477,2.1833137037543198
war_rate,same_season,pooled,"A scalar (WAR, wRC+) k=3",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.7984522974551675,1.7132141866159991,1.8849826389452933,2.284678949087644,2.1788524483133602,2.3912475942654967
war_rate,same_season,pooled,"A scalar (WAR, wRC+) k=5",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.7144195397310937,1.6285375481020004,1.8007409267095884,2.188080801012788,2.08065360557585,2.2957831356230405
war_rate,same_season,pooled,B B2V (5 tools) k=10,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.6814308069729191,1.606987978712629,1.7621532641848647,2.1232465645570326,2.0323796813583352,2.218646719155435
war_rate,same_season,pooled,B B2V (5 tools) k=3,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.8276134036536638,1.7421374941554932,1.9105462373984459,2.2978045277905785,2.1994207163858186,2.396887461511378
war_rate,same_season,pooled,B B2V (5 tools) k=5,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.7467671761690262,1.6716113184404682,1.8237996369727918,2.1988077004789566,2.1098351093672405,2.2912242486167447
war_rate,past_seasons,A,"A scalar (WAR, wRC+) k=10",,,,,,,350,1.6050480859337026,1.4802057696392474,1.7345867977988958,2.0055404972446342,1.8606460697482294,2.1479948050602196
war_rate,past_seasons,A,"A scalar (WAR, wRC+) k=3",,,,,,,350,1.8104448824880262,1.6741459963098526,1.9634902872834639,2.2734580751671034,2.1168068582643875,2.437533979025663
war_rate,past_seasons,A,"A scalar (WAR, wRC+) k=5",,,,,,,350,1.6616526856637528,1.5337652792410095,1.7952720778533704,2.0815061554556626,1.93429527745983,2.234830040283958
war_rate,past_seasons,A,B B2V (5 tools) k=10,,,,,,,350,1.5826311531282324,1.4567909738094174,1.7104621638737054,1.9852908117323973,1.835492665502456,2.133666574792793
war_rate,past_seasons,A,B B2V (5 tools) k=3,,,,,,,350,1.7876312200873505,1.642670174385165,1.9294097844425528,2.2440693713948403,2.0786761437594103,2.4058292435306545
war_rate,past_seasons,A,B B2V (5 tools) k=5,,,,,,,350,1.6955226662141114,1.5680027434004677,1.8296062978225538,2.104839599634525,1.9501618209758849,2.2621483803630755
war_rate,past_seasons,B,"A scalar (WAR, wRC+) k=10",,,,,,,355,1.5980560692651054,1.4654155878221045,1.733753230082405,2.0675286363667693,1.8943356119277885,2.23171331133378
war_rate,past_seasons,B,"A scalar (WAR, wRC+) k=3",,,,,,,355,1.7626313648395384,1.6253992210427448,1.910715726273779,2.2289893428527785,2.0604869757033346,2.3985266943428405
war_rate,past_seasons,B,"A scalar (WAR, wRC+) k=5",,,,,,,355,1.663904263513003,1.529285862855006,1.7980420494855702,2.1346269336725934,1.9684532619727353,2.3061349735295784
war_rate,past_seasons,B,B B2V (5 tools) k=10,,,,,,,355,1.6405022260815592,1.5053198815958218,1.783462861172559,2.1163723622413433,1.9470680550737005,2.292354228174418
war_rate,past_seasons,B,B B2V (5 tools) k=3,,,,,,,355,1.8146893988823083,1.6652171402580818,1.966634457441556,2.3158691035795296,2.1265626390602623,2.510840935305215
war_rate,past_seasons,B,B B2V (5 tools) k=5,,,,,,,355,1.7106274503040169,1.569224549151432,1.8678864182079002,2.220811301115157,2.039348312880882,2.4080592659720703
war_rate,past_seasons,C,"A scalar (WAR, wRC+) k=10",,,,,,,358,1.6300659669491901,1.4948006828396398,1.7700241047321474,2.090583621259965,1.924028699446657,2.263474518664674
war_rate,past_seasons,C,"A scalar (WAR, wRC+) k=3",,,,,,,358,1.8055376570826192,1.6610757309210185,1.9464450857747873,2.253138970346333,2.0827413149840295,2.4212862801318837
war_rate,past_seasons,C,"A scalar (WAR, wRC+) k=5",,,,,,,358,1.7656798400117932,1.633532730263835,1.905334026823187,2.2002184162565026,2.0358985484625345,2.3675995806503254
war_rate,past_seasons,C,B B2V (5 tools) k=10,,,,,,,358,1.6689329698020279,1.538390737570755,1.8037142492299727,2.089007131129401,1.9308347186913473,2.252599370457957
war_rate,past_seasons,C,B B2V (5 tools) k=3,,,,,,,358,1.8092631522757012,1.658376294696762,1.9617631423379396,2.3302814871131314,2.1413098201806315,2.5185878215598256
war_rate,past_seasons,C,B B2V (5 tools) k=5,,,,,,,358,1.7218066460159693,1.5871327756702378,1.8631085166192898,2.1778482580249587,2.0151675909840527,2.345973978611015
war_rate,past_seasons,pooled,"A scalar (WAR, wRC+) k=10",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.6111386179056622,1.5347098208298273,1.693536740722492,2.05519560983465,1.9542384002037474,2.159758751240588
war_rate,past_seasons,pooled,"A scalar (WAR, wRC+) k=3",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.79282438816973,1.7088592692655702,1.8808721838777709,2.2518371645920574,2.1532554960094323,2.353585710956543
war_rate,past_seasons,pooled,"A scalar (WAR, wRC+) k=5",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.6974391686299641,1.6154365276947942,1.7798789304446325,2.139777428948886,2.0398483610901437,2.2394756376724887
war_rate,past_seasons,pooled,B B2V (5 tools) k=10,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.631022762975504,1.5539563295777852,1.7129633428855169,2.064763646607193,1.9716557492549722,2.1638120637755436
war_rate,past_seasons,pooled,B B2V (5 tools) k=3,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.8039528430371523,1.7230213419728835,1.8960363547983126,2.297390241580693,2.1969984044000554,2.406553941586753
war_rate,past_seasons,pooled,B B2V (5 tools) k=5,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.709419056732438,1.63184543133444,1.79560601162276,2.1686827814719685,2.0685585823719546,2.2741856609680426
