target,window,touches_2020,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,2019-2025 (all),True,2022->23,M5 constituents + age + PA,24,26.82695795279722,908.0,False,2019->2020; 2020->2021; 2021->2022,2022->2023,353,18.127375726105516,16.743874281940133,19.640210876349606,23.076702914473227,21.294751938260845,24.972677777189183
wrc_plus,2019-2025 (all),True,2022->23,M6 Marcel (no fit),1,,,,,,353,19.540244430189766,17.956105144844223,21.232254142297155,24.914774198861597,23.048618437570344,26.812371580213174
wrc_plus,2019-2025 (all),True,2022->23,M6c Marcel calibrated,1,0.001,908.0,False,2019->2020; 2020->2021; 2021->2022,2022->2023,353,18.81880588879166,17.322312331342797,20.44201072929316,23.95602225767955,22.19757283782897,25.803482136471246
wrc_plus,2019-2025 (all),True,2022->23,M7 Marcel + B2V,6,0.001,908.0,False,2019->2020; 2020->2021; 2021->2022,2022->2023,353,18.526805807847335,17.07611282214214,20.071693013554878,23.46188767953041,21.757138823916254,25.281857997644476
wrc_plus,2019-2025 (all),True,2023->24,M0 scalar baseline,1,0.001,1261.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023,2023->2024,358,20.50173743659827,18.81253031340168,22.361489282556242,26.64254124986225,24.43501097272757,28.89380526318678
wrc_plus,2019-2025 (all),True,2023->24,M1 B2V 5 tools,5,0.001,1261.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023,2023->2024,358,19.05585739899267,17.485748019132956,20.759878975239825,24.751488160714654,22.683000887164198,26.85450411397984
wrc_plus,2019-2025 (all),True,2023->24,M2 constituent stats,22,100.0,1261.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023,2023->2024,358,18.5121000800633,16.961700015725256,20.21842846935661,24.11211748244103,22.070140167222025,26.168200954223657
wrc_plus,2019-2025 (all),True,2023->24,M3 scalar + age + PA,3,0.001,1261.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023,2023->2024,358,20.546207376531918,18.919064458808236,22.345567947796628,26.506581983081094,24.36969117256747,28.711912965167198
wrc_plus,2019-2025 (all),True,2023->24,M4 B2V + age + PA,7,0.001,1261.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023,2023->2024,358,19.209779242408896,17.665349735599033,20.937182080961666,24.827358665411083,22.804307846057274,26.885779643458797
wrc_plus,2019-2025 (all),True,2023->24,M5 constituents + age + PA,24,100.0,1261.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023,2023->2024,358,18.58562207281454,17.05375556302419,20.276834238009577,24.09882246230003,22.10969137896583,26.164904258554344
wrc_plus,2019-2025 (all),True,2023->24,M6 Marcel (no fit),1,,,,,,358,20.020846075856454,18.35260955807912,21.88817940417214,26.090445567853948,23.858225959880915,28.44205243013716
wrc_plus,2019-2025 (all),True,2023->24,M6c Marcel calibrated,1,0.001,1261.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023,2023->2024,358,19.3033600604421,17.666006119113256,21.01373699529438,25.31674098634732,23.167637642545248,27.569903305666664
wrc_plus,2019-2025 (all),True,2023->24,M7 Marcel + B2V,6,51.794746792312125,1261.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023,2023->2024,358,18.830665751466746,17.28651828383085,20.518494930883104,24.60824614580936,22.521887008389257,26.71640847250032
wrc_plus,2019-2025 (all),True,2024->25,M0 scalar baseline,1,13.89495494373136,1619.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023; 2023->2024,2024->2025,362,19.312169538430343,17.71995908763346,21.05985913082157,24.989841996781724,22.766083501080747,27.384569109539378
wrc_plus,2019-2025 (all),True,2024->25,M1 B2V 5 tools,5,0.001,1619.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023; 2023->2024,2024->2025,362,18.210107238942236,16.679191878589478,19.855821383457183,23.766648975254803,21.66297547985142,25.953840262742464
wrc_plus,2019-2025 (all),True,2024->25,M2 constituent stats,22,71.96856730011514,1619.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023; 2023->2024,2024->2025,362,17.805551043678804,16.32375232652366,19.34400358599755,23.049628605501475,21.132318731178284,25.01984540539571
wrc_plus,2019-2025 (all),True,2024->25,M3 scalar + age + PA,3,51.794746792312125,1619.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023; 2023->2024,2024->2025,362,19.243973615707752,17.666350922652818,20.998719358638535,24.755075182363104,22.62781410603558,27.056437484432426
wrc_plus,2019-2025 (all),True,2024->25,M4 B2V + age + PA,7,7.196856730011514,1619.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023; 2023->2024,2024->2025,362,18.097372316601284,16.571367672359347,19.70008362007325,23.68086606305956,21.597787320113913,25.890509927456357
wrc_plus,2019-2025 (all),True,2024->25,M5 constituents + age + PA,24,71.96856730011514,1619.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023; 2023->2024,2024->2025,362,17.780262238351913,16.306664311317423,19.283213456611076,23.013098436348326,21.069449391745668,24.988976828325338
wrc_plus,2019-2025 (all),True,2024->25,M6 Marcel (no fit),1,,,,,,362,19.4742744499723,17.915705024054304,21.205895990803732,25.289038967735436,23.25690473551722,27.463018605891403
wrc_plus,2019-2025 (all),True,2024->25,M6c Marcel calibrated,1,0.001,1619.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023; 2023->2024,2024->2025,362,19.012980768426253,17.47576986758545,20.718989096242314,24.415718322702745,22.44555708335076,26.52948724513459
wrc_plus,2019-2025 (all),True,2024->25,M7 Marcel + B2V,6,10.0,1619.0,False,2019->2020; 2020->2021; 2021->2022; 2022->2023; 2023->2024,2024->2025,362,18.20295294573146,16.688421506087607,19.827178712135545,23.631585015826147,21.66421204737243,25.7641190902367
wrc_plus,2019-2025 (all),True,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1706,19.983289146072696,19.157591840660505,20.836905006746655,25.75487271728628,24.62265509035821,26.863045753755184
wrc_plus,2019-2025 (all),True,pooled,M1 B2V 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1706,19.001934504125305,18.247932360589765,19.781842385961994,24.439560219144603,23.40274855915552,25.481199587844788
wrc_plus,2019-2025 (all),True,pooled,M2 constituent stats,22,,,,re-fitted per fold,all rolling-origin test seasons,1706,18.82211116523305,18.057119193666562,19.591773019166062,24.183395095357227,23.173898900159767,25.146357409598362
wrc_plus,2019-2025 (all),True,pooled,M3 scalar + age + PA,3,,,,re-fitted per fold,all rolling-origin test seasons,1706,19.783880097586437,18.95324972906119,20.631341339489545,25.48046885496481,24.352083681722643,26.609218975763472
wrc_plus,2019-2025 (all),True,pooled,M4 B2V + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1706,18.889951246375936,18.11946458553147,19.681014318089623,24.31884005275702,23.284651608796246,25.35231787777177
wrc_plus,2019-2025 (all),True,pooled,M5 constituents + age + PA,24,,,,re-fitted per fold,all rolling-origin test seasons,1706,18.72423070532735,17.975349661652533,19.495227101701644,24.059562888479796,23.08659797355636,25.040722950477388
wrc_plus,2019-2025 (all),True,pooled,M6 Marcel (no fit),1,,,,re-fitted per fold,all rolling-origin test seasons,1706,19.530136970203962,18.744117923499132,20.376008518477953,25.209875557113943,24.163045635365208,26.2355827557489
wrc_plus,2019-2025 (all),True,pooled,M6c Marcel calibrated,1,,,,re-fitted per fold,all rolling-origin test seasons,1706,19.20895519286471,18.43661501728368,20.03262667234662,24.703254233776406,23.669806771382017,25.73845166488243
wrc_plus,2019-2025 (all),True,pooled,M7 Marcel + B2V,6,,,,re-fitted per fold,all rolling-origin test seasons,1706,18.804850963054864,18.072442821070165,19.594967932835907,24.18001371899338,23.175466040734683,25.190881723956775
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M0 scalar baseline,1,0.001,354.0,False,2021->2022,2022->2023,353,19.23711125495865,17.688865980874795,20.899201059400184,24.74515909227289,22.868839481160517,26.648705656187133
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M1 B2V 5 tools,5,0.001,354.0,False,2021->2022,2022->2023,353,18.51814338711956,17.08777995743055,20.063578296483666,23.378295044532635,21.69734512342608,25.201105364341306
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M2 constituent stats,22,138.9495494373136,354.0,False,2021->2022,2022->2023,353,18.66421980652203,17.222771135188037,20.187748001200664,23.53450973399253,21.83699591294552,25.39298297358355
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M3 scalar + age + PA,3,0.001,354.0,False,2021->2022,2022->2023,353,18.581841113404185,17.111365586283178,20.066983208241954,23.769645983579334,22.01852005921451,25.530015945608376
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M4 B2V + age + PA,7,0.001,354.0,False,2021->2022,2022->2023,353,17.994649745681773,16.5489426549208,19.466209070511965,22.824034616278233,21.14774895178524,24.6172561333607
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M5 constituents + age + PA,24,100.0,354.0,False,2021->2022,2022->2023,353,18.206190664595436,16.77191658804164,19.667636866756943,23.118824393663747,21.380697410726242,24.92924345075091
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M6 Marcel (no fit),1,,,,,,353,19.540244430189766,17.956105144844223,21.232254142297155,24.914774198861597,23.048618437570344,26.812371580213174
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M6c Marcel calibrated,1,0.001,354.0,False,2021->2022,2022->2023,353,18.815680558420024,17.29327602237583,20.45701311444507,23.896530330682925,22.134508000675414,25.70675151710667
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M7 Marcel + B2V,6,7.196856730011514,354.0,False,2021->2022,2022->2023,353,18.612425729160265,17.15199241125739,20.192375474040052,23.470475471859174,21.802865895705324,25.22060166622896
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M0 scalar baseline,1,0.001,707.0,False,2021->2022; 2022->2023,2023->2024,358,20.57568039004936,18.894929519022096,22.431656038316707,26.651620651389077,24.48736583453085,28.872958860096656
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M1 B2V 5 tools,5,5.179474679231207,707.0,False,2021->2022; 2022->2023,2023->2024,358,19.01104536957569,17.42564142525556,20.693254117544974,24.65202801334321,22.610013187673367,26.712738804835
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M2 constituent stats,22,51.794746792312125,707.0,False,2021->2022; 2022->2023,2023->2024,358,18.630767127159977,17.07185253538859,20.319568491135723,24.15606842381681,22.129829486555376,26.220839990382288
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M3 scalar + age + PA,3,7.196856730011514,707.0,False,2021->2022; 2022->2023,2023->2024,358,20.64033806915984,19.009298353761498,22.425174250929164,26.536057749258113,24.464145253304316,28.7692922196829
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M4 B2V + age + PA,7,5.179474679231207,707.0,False,2021->2022; 2022->2023,2023->2024,358,19.130494642358993,17.566601335079092,20.79855768888639,24.78886818013877,22.83065380632473,26.76485383414451
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M5 constituents + age + PA,24,71.96856730011514,707.0,False,2021->2022; 2022->2023,2023->2024,358,18.632267367167486,17.097540285757123,20.322591577404204,24.198419023550024,22.22437489428085,26.214800377826528
