target,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
war,B,M1 ZScore 5 tools,5,37.27593720314938,701,False,2021->2022; 2022->2023,2023->2024,355,1.2432537778697306,1.1337184347897433,1.362183028680997,1.6480556186725535,1.488007367898079,1.8203223727326632
war,B,M1 ZScore 5 tools + age + PA,7,51.794746792312125,701,False,2021->2022; 2022->2023,2023->2024,355,1.2397501638063637,1.1338306851703615,1.3527742124875606,1.6221239015213211,1.464051096529741,1.8012614650776844
war,C,M0 scalar baseline,1,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1334134441918637,1.0384086495779592,1.233217431993349,1.4838927333556877,1.3565160900667095,1.617597813041127
war,C,M1 JointVAE 5 tools,5,19.306977288832496,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.173791001445297,1.0741751338963617,1.2760409674130824,1.5230635387915554,1.3821725930832591,1.669895487446912
war,C,M1 JointVAE 5 tools + age + PA,7,26.82695795279722,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1416723349108313,1.0442584759846034,1.2429038637120893,1.483640742924489,1.3453452717278385,1.6187976709868528
war,C,M1 PCA 5 tools,5,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1784097369027837,1.0810725040753466,1.2831620506312331,1.5211874199493034,1.3811705943377275,1.6684369392009748
war,C,M1 PCA 5 tools + age + PA,7,71.96856730011514,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1624078124400163,1.062662401391194,1.2618492028061066,1.4987345273893558,1.3548149206781726,1.6378466354281465
war,C,M1 ZScore 5 tools,5,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1799318180605904,1.0820852593634536,1.28496372746248,1.5216639985476859,1.3805070322197674,1.6680179406230995
war,C,M1 ZScore 5 tools + age + PA,7,71.96856730011514,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1621406095348983,1.0632104433626144,1.2611244387278318,1.498719045745164,1.35579981546324,1.6373910713928785
war,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1759478006565973,1.1117652921787076,1.244493378070715,1.5437878883729195,1.4409363309452075,1.6470345573562781
war,pooled,M1 JointVAE 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.214262894000812,1.1501243342656808,1.2839620502957785,1.5805343421261018,1.4776416194407131,1.6851628188515688
war,pooled,M1 JointVAE 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.167178281554563,1.1051360014866052,1.232050604433684,1.5202675968270647,1.4213885680319827,1.6238178074263276
war,pooled,M1 PCA 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2232101109512994,1.1570068749341418,1.2882773500877533,1.5801862197364314,1.480750052706579,1.6751247329179673
war,pooled,M1 PCA 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1840218542440086,1.1202737170645851,1.2493243681003992,1.5303771740889311,1.4345326862466357,1.6264576655975236
war,pooled,M1 ZScore 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2234376765972077,1.157540348591027,1.2888829840614369,1.5803047627112512,1.481715481586281,1.6751797138159843
war,pooled,M1 ZScore 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1842492393148236,1.1206772140289218,1.2498880312463654,1.5306668470680254,1.4351093480328745,1.6257976727292283
war_rate,A,M0 scalar baseline,1,0.001,351,False,2021->2022,2022->2023,350,1.5796937540480682,1.4502915557878282,1.7077020978522712,1.9908688851475085,1.8368456146596899,2.1430904536595246
war_rate,A,M1 JointVAE 5 tools,5,10.0,351,False,2021->2022,2022->2023,350,1.5341042442527753,1.4110656119463831,1.6546564877801024,1.9257346030215774,1.7789850004122794,2.06374715905667
war_rate,A,M1 JointVAE 5 tools + age + PA,7,13.89495494373136,351,False,2021->2022,2022->2023,350,1.4437208881960155,1.3197742814609896,1.5664126115963846,1.8584840233969175,1.7157797250226983,2.002968470075259
war_rate,A,M1 PCA 5 tools,5,0.7196856730011514,351,False,2021->2022,2022->2023,350,1.5413534137192635,1.4207107672804382,1.6598609466397332,1.9301396001806337,1.786417968777382,2.07091252918669
war_rate,A,M1 PCA 5 tools + age + PA,7,13.89495494373136,351,False,2021->2022,2022->2023,350,1.4573110232688644,1.337440122065808,1.578491756686695,1.858488701383531,1.7201518736730057,2.0032394815058927
war_rate,A,M1 ZScore 5 tools,5,0.001,351,False,2021->2022,2022->2023,350,1.5405363515992512,1.4195524356234481,1.6593638153601638,1.9293991326209115,1.7861461439187256,2.0700022752426377
war_rate,A,M1 ZScore 5 tools + age + PA,7,10.0,351,False,2021->2022,2022->2023,350,1.4581578088097729,1.3392270866394804,1.5794740608855933,1.8586745441842265,1.719729487240171,2.0043909006624
war_rate,B,M0 scalar baseline,1,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,1.6701522216563032,1.5332519334745482,1.8096518522570033,2.1605806144774795,1.9954377157949699,2.3314593045092877
