target,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
war_rate,B,M0 scalar baseline,1,0.001,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.6701522216563032,1.5332519334745482,1.8096518522570033,2.1605806144774795,1.9954377157949699,2.3314593045092877
war_rate,B,M1 B2V 5 tools,5,13.89495494373136,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.6066541920553836,1.4800900505234167,1.7395336045237773,2.0659989025390915,1.9067137587098897,2.2262093473468427
war_rate,B,M6 Marcel (no fit),1,,,,none (deterministic projection),2023->2024,355,1.6512740147715965,1.5092791286133735,1.7936349831638718,2.158488392107414,1.9744382893463543,2.3403717204756904
war_rate,B,M6c Marcel calibrated,1,0.001,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.5938780801189318,1.458050084292242,1.7321114688538986,2.07749240435333,1.8980384169314377,2.250300630970938
war_rate,B,M7 Marcel + B2V,6,51.794746792312125,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.5676805966121885,1.4355879352701526,1.7036844989480058,2.037143309616604,1.8736118420862722,2.198584696370534
war_rate,B,M7x Marcel + B2V + age + PA,8,71.96856730011514,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.5858356410951915,1.4556934236041756,1.722449483590101,2.0491404914279934,1.8883749328051487,2.2128986839877833
war_rate,C,M0 scalar baseline,1,0.001,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5924928922408956,1.4604765858521007,1.7310854920295826,2.059439364755952,1.8851634422230859,2.238968097772024
war_rate,C,M1 B2V 5 tools,5,51.794746792312125,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5579558369554412,1.4267446622458446,1.6948280340082413,2.014247935980541,1.845286720745002,2.1890209801552816
war_rate,C,M6 Marcel (no fit),1,,,,none (deterministic projection),2024->2025,358,1.6331362080617393,1.4986795496436622,1.7791976261346476,2.102927960014609,1.9310206931792564,2.2823108933391905
war_rate,C,M6c Marcel calibrated,1,0.001,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5712054192830545,1.4405063112957295,1.7065265939600942,2.016656597155182,1.8569938450606012,2.1800005572760677
war_rate,C,M7 Marcel + B2V,6,71.96856730011514,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5367612153896661,1.4087106448127056,1.6685882026720664,1.9837515197781619,1.8235739576327563,2.1521095557635532
war_rate,C,M7x Marcel + B2V + age + PA,8,100.0,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5251152922206617,1.396179645204771,1.6549468477640292,1.964206448775395,1.8016286098012877,2.1271951015343515
